102150_1..S03R,1,997,622,12,1,3018,660,1020,1
099850_2..S01R,2,997,639,11,1,2928,420,1024,1
099150_3..S01R,3,997,632,9,1,348,420,1023,1
097350_1..S03R,1,1000,614,12,1,0,660,1020,1
099850_2..S01R,2,1000,639,12,1,2713,415.7142857142857142857142857,1025,1
099150_3..S01R,3,1000,632,9,1,169,420,1023,1
102150_1..S03R,1,1003,622,11,1,2649,660,1020,1
099850_2..S01R,2,1003,639,11,1,2531,415.7142857142857142857142857,1026,1
101550_3..S01R,3,1003,616,9,1,1419,420,1023,1
102150_1..S03R,1,1006,622,12,1,2458,660,1027,2
096250_2..S01R,2,1006,603,11,1,0,415.7142857142857142857142857,1027,2
101550_3..S01R,3,1006,616,9,1,1228,420,1035,2
102150_1..S03R,1,1009,622,12,1,2266,660,1027,2
099850_2..S01R,2,1009,639,11,1,2138,415,1027,2
101550_3..S01R,3,1009,616,8,1,1036,420,1035,2
102150_1..S03R,1,1013,622,11,1,2078,660,1034,1
099850_2..S01R,2,1013,639,11,1,1967,415,1037,1
101550_3..S01R,3,1013,616,8,1,848,420,1035,1
102150_1..S03R,1,1016,622,12,1,1882,660,1034,1
104650_2..S01R,2,1015,647,12,1,4642,411.4285714285714285714285714,1038,1
100350_3..S01R,3,1015,604,8,1,0,420,1035,1
102150_1..S03R,1,1019,622,11,1,1698,660,1034,1
097450_2..S01R,2,1019,615,11,1,0,411.4285714285714285714285714,1037,1
101550_3..S01R,3,1019,616,8,1,538,420,1036,1
102150_1..S03R,1,1022,622,12,1,1533,660,1043,1
104650_2..S01R,2,1021,647,11,1,4273,410,1049,1
101550_3..S01R,3,1021,616,9,1,336,420,1047,1
102150_1..S03R,1,1025,622,11,1,1335,660,1043,1
104650_2..S01R,2,1025,647,12,1,4086,407.1428571428571428571428571,1050,1
101550_3..S01R,3,1025,616,8,1,147,420,1047,1
102150_1..S03R,1,1028,622,11,1,1155,660,1050,3
104650_2..S01R,2,1028,647,11,1,3901,407.1428571428571428571428571,1052,3
102750_3..S01R,3,1028,628,8,1,638,420,1047,3
100550_1..S03R,1,1031,606,12,1,0,660,1050,3
104650_2..S01R,2,1031,647,11,1,3716,405,1051,3
102750_3..S01R,3,1031,628,9,1,462,412.5,1047,3
102150_1..S03R,1,1034,622,11,1,808,660,1051,1
104650_2..S01R,2,1034,647,11,1,3529,405,1052,1
102750_3..S01R,3,1034,628,8,1,267,412.5,1059,1
102150_1..S03R,1,1037,622,12,1,625,660,1060,3
104650_2..S01R,2,1037,647,10,1,3338,405,1063,3
102750_3..S01R,3,1037,628,8,1,106,412.5,1059,3
102150_1..S03R,1,1041,622,12,1,444,660,1060,3
104650_2..S01R,2,1041,647,11,1,3153,402.8571428571428571428571429,1063,3
103950_3..S01R,3,1041,640,8,1,602,410,1058,3
102950_1..S03R,1,1056,630,12,1,0,660,1075,1
104650_2..S01R,2,1055,647,11,1,2245,398.5714285714285714285714286,1076,1
108800_3..S01R,3,1055,688,9,1,2586,397.5,1082,1
108550_1..S03R,1,1059,686,11,1,3150,660,1074,3
104650_2..S01R,2,1059,647,10,1,2079,395,1076,3
108800_3..S01R,3,1059,688,8,1,2400,397.5,1070,3
109350_1..S03R,1,1062,694,12,1,3445,660,1082,3
104650_2..S01R,2,1062,647,11,1,1858,394.2857142857142857142857143,1086,3
108800_3..S01R,3,1062,688,8,1,2215,397.5,1082,3
